,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
536,Cardi B,Ring (feat. Kehlani),5DfWF0jqMgZDCiu9zJENTA,65,0.767,0.543,1,-7.881,0,0.103,0.049,0.0,0.115,0.485,106.029,177140,4
537,Vertical Worship,Yes I Will,1sF4VadVaVTvp9WTEy79JT,63,0.43,0.708,0,-7.14,1,0.0336,0.0561,0.0,0.704,0.243,75.024,234731,4
538,Brett Young,Catch,53cGGBxGPaRjP0HVUESyW5,63,0.566,0.765,2,-6.337,1,0.0439,0.0248,0.0,0.0783,0.604,156.036,196440,4
539,Silk City,Electricity (with Dua Lipa),5N4erncE7kuUccm7zEmwzk,72,0.588,0.67,0,-6.439,1,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,238173,4
540,Playboi Carti,Love Hurts (feat. Travis Scott),3K6U7TamNyVSWcFH8pCQHX,65,0.724,0.45,4,-5.763,0,0.0497,0.0315,1.42e-05,0.111,0.464,140.978,180560,4
541,Shawn Mendes,Lost In Japan,79esEXlqqmq0GPz0xQSZTV,71,0.713,0.738,10,-6.784,1,0.374,0.255,0.0,0.106,0.425,105.027,201200,4
542,Kevin Kaarl,Amor Viejo,3W5h65cRwTaZ1FCvEw6Ltx,74,0.689,0.203,0,-14.459,1,0.0417,0.992,0.5,0.0873,0.373,93.151,137497,4
543,Duckwrth,Start a Riot,6V81K1OcvYgHEnCA6A2Qx9,65,0.728,0.727,2,-3.585,1,0.206,0.0128,0.0,0.0882,0.89,143.144,171467,4
544,Quavo,FLIP THE SWITCH (feat. Drake),1rlIrbWboTRGeKfHhgbJRZ,66,0.853,0.637,3,-5.924,0,0.331,0.129,0.0,0.267,0.496,86.048,156195,4
545,Alina Baraz,Electric (feat. Khalid),2mj7x99sNUsVHPBRK51zlG,65,0.599,0.396,10,-10.489,0,0.0392,0.738,2.19e-05,0.102,0.134,111.072,246327,4
546,Justin Timberlake,Say Something (feat. Chris Stapleton),1LhMopPAallLeaeNutqbgS,69,0.707,0.632,10,-7.031,1,0.0789,0.103,1.09e-05,0.0841,0.372,97.04,278893,4
547,Travis Scott,HOUSTONFORNICATION,58TaFP5j5i9swOf584yon2,67,0.689,0.723,0,-4.052,0,0.0836,0.0985,0.0,0.158,0.288,160.042,217828,4
548,Lil Mosey,Kamikaze,3to5UxKsozb4T6CfwHuhLJ,66,0.792,0.571,8,-7.539,0,0.094,0.301,0.0,0.1,0.556,99.999,139200,4
549,The Internet,Hold On,5tqZJUHEuqdN12RZVq2l9p,64,0.7,0.414,0,-10.864,1,0.0373,0.849,0.0606,0.107,0.444,60.479,406467,4
550,Morgan Wallen,Not Good At Not,5V4Sx4VKnHwyM6CjZnfce2,62,0.557,0.814,11,-3.241,1,0.0325,0.242,0.0,0.114,0.582,143.935,185067,4
551,Cigarettes After Sex,Crush,2y7JqO7Jc7ErdOmxpvifRF,64,0.401,0.505,5,-8.574,1,0.0252,0.0869,0.779,0.11,0.287,97.796,266667,4
552,NAV,Wanted You (feat. Lil Uzi Vert),1Faq8G2y56A8fRv7HsLq25,64,0.797,0.731,9,-4.443,0,0.0479,0.229,0.0,0.224,0.623,146.93,228387,4
