Singer,acousticness,danceability,energy,id,instrumentalness,key,liveness,loudness,mode,Song name,speechiness,tempo,track_href,valence
Amit Trivedi,0.691,0.352,0.461,6iFm1CcTrJe7SbZqXMXuDk,0.00235,6,0.106,-8.048,1,Meethi Boliyaan,0.0305,128.232,https://api.spotify.com/v1/tracks/6iFm1CcTrJe7SbZqXMXuDk,0.22
Amit Trivedi,0.767,0.695,0.501,57xczqwxDF0HZsuPyVEJXa,0.0041,11,0.106,-6.552,1,Manasu Maree - Telugu,0.0316,120.076,https://api.spotify.com/v1/tracks/57xczqwxDF0HZsuPyVEJXa,0.511
Amit Trivedi,0.389,0.548,0.466,5VbZt5Tp8qUGFMRXctKdIi,4.01E-05,2,0.125,-7.083,1,Aazaadiyan (Pairon Ki Bediyan),0.0242,100.066,https://api.spotify.com/v1/tracks/5VbZt5Tp8qUGFMRXctKdIi,0.202
Amit Trivedi,0.13,0.906,0.699,4J9n7thOdqi8gxRGNyQoVC,0.0165,0,0.178,-5.526,1,Gal Mitthi Mitthi,0.0462,129.946,https://api.spotify.com/v1/tracks/4J9n7thOdqi8gxRGNyQoVC,0.938
Amit Trivedi,0.854,0.424,0.42,7uGetSk4aPEocNEqXphegM,0,1,0.0709,-7.67,1,Qaafirana- Female Version (Kedarnath),0.0283,75.079,https://api.spotify.com/v1/tracks/7uGetSk4aPEocNEqXphegM,0.3
Amit Trivedi,0.806,0.605,0.336,7jVDWqBap4OmokUeCvFZo7,0.000317,6,0.129,-11.131,1,Manmarziyan,0.0261,100.058,https://api.spotify.com/v1/tracks/7jVDWqBap4OmokUeCvFZo7,0.209
Amit Trivedi,0.442,0.516,0.48,0BpyPRt8HfEXkBxItw1ILt,2.33E-06,8,0.139,-9.557,1,"Kahin Toh Hogi Woh-Teri Aahatein (From ""T-Series Mixtape Season 2"")",0.0274,86.982,https://api.spotify.com/v1/tracks/0BpyPRt8HfEXkBxItw1ILt,0.445
Amit Trivedi,0.0028,0.418,0.931,79blZUG11a6vtTL3Nt9J78,7.71E-05,2,0.332,-4.584,1,Punjabi Mashup,0.174,129.994,https://api.spotify.com/v1/tracks/79blZUG11a6vtTL3Nt9J78,0.707
Amit Trivedi,0.432,0.847,0.768,46BADgUUo31SIxYsNzadeO,0.000433,4,0.104,-5.479,1,Laila Laila,0.0335,120.058,https://api.spotify.com/v1/tracks/46BADgUUo31SIxYsNzadeO,0.682
Amit Trivedi,0.709,0.32,0.337,74dP5hqakjK6WAs05TqOwb,0,0,0.0662,-10.91,1,Ishaqzaade,0.0611,79.098,https://api.spotify.com/v1/tracks/74dP5hqakjK6WAs05TqOwb,0.206
Amit Trivedi,0.107,0.54,0.879,5XDh3IwOcwrJjqhfxrapxO,2.56E-06,7,0.29,-3.602,1,Monsta Mashup 2019 by DJ Notorious and Lijo George,0.116,105.97,https://api.spotify.com/v1/tracks/5XDh3IwOcwrJjqhfxrapxO,0.513
Amit Trivedi,0.406,0.632,0.63,12AjhiaIdCBGRgV1iSdPy8,0.00222,9,0.151,-10.138,1,Geet Mein Dhalte Lafzon Mein,0.0326,110.065,https://api.spotify.com/v1/tracks/12AjhiaIdCBGRgV1iSdPy8,0.38
Amit Trivedi,0.875,0.398,0.29,3bM0sCyyhglscs8EvsBZ36,0,0,0.152,-10.273,1,Lagan Laagi Re,0.0314,138.317,https://api.spotify.com/v1/tracks/3bM0sCyyhglscs8EvsBZ36,0.215
Amit Trivedi,0.0593,0.521,0.837,1FSYDJAlyHAabWhiGgYfDq,1.28E-05,7,0.157,-4.501,1,"52 Non Stop Dilbar Dilbar Remix(Remix By Kedrock,Sd Style)",0.0794,106.001,https://api.spotify.com/v1/tracks/1FSYDJAlyHAabWhiGgYfDq,0.48
Amit Trivedi,0.0356,0.591,0.718,51Owp4Rn7TgjqOV7d7hoSJ,0.0035,0,0.231,-5.584,1,Nindaraan Diyaan,0.0258,112.022,https://api.spotify.com/v1/tracks/51Owp4Rn7TgjqOV7d7hoSJ,0.733
Amit Trivedi,0.179,0.772,0.724,1e7gkz5Yn8d9Wkxe58qdV5,0.00123,0,0.0888,-6.986,1,Badra Bahaar,0.0296,100.051,https://api.spotify.com/v1/tracks/1e7gkz5Yn8d9Wkxe58qdV5,0.713
Amit Trivedi,0.788,0.454,0.505,47i1iMkhGrt4mKrRSKOzVC,0.000107,6,0.103,-7.387,1,"Sooiyan (From ""Guddu Rangeela"")",0.0316,84.985,https://api.spotify.com/v1/tracks/47i1iMkhGrt4mKrRSKOzVC,0.345
